,logFC,adj.P.Val,Gene,status
1,0.074268694,0.002976368,TICAM2,NO
2,0.074268694,0.002976368,TMED7-TICAM2,NO
3,-0.091944871,0.039045093,IL10RA,NO
4,-0.060158522,0.049111236,ZNF589,NO
5,0.12430952,0.020725836,PRDM1,UP
6,-0.023422024,0.0226244,AGPAT4-IT1,NO
7,-0.093425335,0.023543749,CBX7,NO
8,-0.059376849,0.045609287,TSEN54,NO
9,0.054088306,0.034572979,GFM1,NO
10,-0.085456407,0.046691508,NA,NO
11,-0.123921712,0.032853477,NA,DOWN
12,-0.034187743,0.041501799,SNORA7B,NO
13,-0.100590547,0.021935417,SEPTIN6,DOWN
14,-0.023547864,0.032094776,THRA,NO
15,0.125060427,0.009780017,ANKRD12,UP
16,0.065742129,0.037674424,PRMT3,NO
17,-0.060749143,0.045609287,SURF1,NO
18,0.136720224,0.024355172,EFR3A,UP
19,-0.137205512,0.000546666,NA,DOWN
20,-0.055810206,0.001233859,NA,NO
21,-0.081364748,0.034070677,PLPPR2,NO
22,0.138104563,0.034053254,E2F3,UP
23,0.075208084,0.03333794,FAF2,NO
24,-0.098064685,0.032299349,PITPNC1,NO
25,-0.110139383,0.044970185,NA,DOWN
26,0.244408927,0.049244625,OAS2,UP
27,-0.051196549,0.039881436,GBA2,NO
28,0.152383561,0.007305213,WDFY1,UP
29,-0.030265169,0.042159922,NA,NO
30,-0.055055909,0.034723449,ANKZF1,NO
31,0.110381566,5.32E-05,TLR7,UP
32,0.080340618,0.038640842,HERC4,NO
33,0.047697625,0.040407958,PAXIP1,NO
34,0.063825283,0.044970185,JAK2,NO
35,0.167653687,0.006323097,PGRMC1,UP
36,0.022376119,0.048962994,TIFA,NO
37,-0.084480856,0.043055757,ANP32A-IT1,NO
38,-0.073273168,0.010883195,TP53INP2,NO
39,0.090628789,0.024355172,ZNF800,NO
40,0.094051065,0.024355172,UBQLN1,NO
41,0.067754974,0.007383619,ZEB2,NO
42,0.263877783,0.009333347,STAT2,UP
43,0.220753511,0.019043419,PARP14,UP
